The word,English Meaning 1,English Meaning 2,Arabic Meaning
literature,pieces of writing or printed information on a particular subject,,الادب
trade,to look for customers; passengers; etc. in order to do business,to do your work or business,التجاره
mental,connected with the state of health of the mind or with the treatment of illnesses of the mind,,العقليه
soil,a country; an area of land,,التربه
potential,that can develop into something or be developed in the future,,المحتمله
variety,several different sorts of the same thing,the quality of not being the same or not doing the same thing all the time,متنوعه
demand,done or happening whenever somebody asks,,الطلب
equipment,the things that are needed for a particular purpose or activity,the process of providing a place or person with necessary things,المعدات
purchase,to buy something,,شراء
worth,in order to get as much as you can from somebody/something,used to emphasize that what you are saying is only your own opinion or suggestion and may not be very helpful,يستحق
purpose,the intention; aim or function of something; the thing that something is supposed to achieve,what is needed in a particular situation,الغرض
tend,to be likely to do something or to happen in a particular way because this is what often or usually happens,to take a particular direction or often have a particular quality,تميل
thus,in this way; like this,as a result of something just mentioned,هكذا
perform,to entertain an audience by playing a piece of music; acting in a play; etc.,to do something; such as a piece of work; task or duty,تنفيذ
proper,that you consider to be real and of a good enough standard,according to the most exact meaning of the word,المناسبه
throughout,in or into every part of something,,طوال
appropriate,suitable; acceptable or correct for the particular circumstances,,المناسبه
combination,two or more things joined or mixed together to form a single unit,the act of joining or mixing together two or more things to form a single unit,تركيبه
content,the amount of a substance that is contained in something else,the information or other material contained on a website or other digital media,المحتوي
craft,an activity involving a special skill at making things with your hands,skill in making people believe what you want them to believe,الحرفيه
due,arranged or expected,owed to somebody as a debt; because it is their right or because they have done something to deserve it,سبب
philosophy,the study of the nature and meaning of the universe and of human life,a particular set or system of beliefs resulting from the search for knowledge about life and the universe,الفلسفه
eventually,at the end of a period of time or a series of events,,اخيرا
reserve,a piece of land that is a protected area for animals; plants; etc.,an area of land in the US that is kept separate for Native Americans to live in,الاحتياطي
significant,large or important enough to have an effect or to be noticed,having a particular meaning,كبيره
chemistry,the chemical structure and behaviour of a particular substance,,الكيمياء
